method,k,seed,inertia,iterations,silhouette,runtime
kmeans++,8,28,152.77920999548076,15,0.3187311952477618,0.004412048001540825
kmeans++,8,29,152.84872623999843,10,0.32471030930368705,0.0034889729868154973
gonzalez,3,0,374.5499431202966,11,0.4063070015391998,0.0021238059998722747
gonzalez,3,1,374.6215987694203,9,0.4068540036934784,0.0015361779951490462
gonzalez,3,2,374.39316080554187,13,0.40111831279660515,0.0026767819945234805
gonzalez,3,3,374.59995276332586,13,0.40689619211234224,0.0020997109968448058
gonzalez,3,4,374.59995276332586,10,0.40689619211234224,0.0015439859998878092
gonzalez,3,5,374.39316080554187,14,0.40111831279660515,0.002091703994665295
gonzalez,3,6,374.59995276332586,13,0.40689619211234224,0.0020905150013277307
gonzalez,3,7,374.3993774873905,10,0.4013322877216997,0.0017334169970126823
gonzalez,3,8,374.59995276332586,10,0.40689619211234224,0.001668551005423069
gonzalez,3,9,374.59995276332586,11,0.40689619211234224,0.001819541008444503
gonzalez,3,10,374.59995276332586,14,0.40689619211234224,0.002280942993820645
gonzalez,3,11,374.39316080554187,10,0.40111831279660515,0.0023010559962131083
gonzalez,3,12,374.5499431202966,11,0.4063070015391998,0.0029171109927119687
gonzalez,3,13,374.3993774873905,11,0.4013322877216997,0.001729394993162714
gonzalez,3,14,374.39316080554187,14,0.40111831279660515,0.002213150990428403
gonzalez,3,15,374.59995276332586,13,0.40689619211234224,0.002067900000838563
gonzalez,3,16,374.59995276332586,23,0.40689619211234224,0.0035436370089882985
gonzalez,3,17,374.6215987694203,9,0.4068540036934784,0.0014662010071333498
gonzalez,3,18,374.5499431202966,11,0.4063070015391998,0.0021559660090133548
gonzalez,3,19,374.39316080554187,11,0.40111831279660515,0.0026053750043502077
gonzalez,3,20,374.5499431202966,11,0.4063070015391998,0.0019034209981327876
gonzalez,3,21,374.39316080554187,16,0.40111831279660515,0.002611432006233372
gonzalez,3,22,374.59995276332586,15,0.40689619211234224,0.0035180220002075657
gonzalez,3,23,374.6215987694203,10,0.4068540036934784,0.0022964960080571473
gonzalez,3,24,374.5499431202966,11,0.4063070015391998,0.0023871560115367174
gonzalez,3,25,374.59995276332586,17,0.40689619211234224,0.0037089429970365018
