method,k,seed,inertia,iterations,silhouette,runtime
gonzalez,5,8,262.9647671884933,19,0.39977798027810635,0.003930007995222695
gonzalez,5,9,264.49747867563883,19,0.3948389541971394,0.003989975986769423
gonzalez,5,10,262.9647671884933,20,0.39977798027810635,0.004296982995583676
gonzalez,5,11,262.9647671884933,19,0.39977798027810635,0.004619763989467174
gonzalez,5,12,262.9647671884933,19,0.39977798027810635,0.004225424010655843
gonzalez,5,13,267.67872427807606,18,0.30907562346721995,0.0035911680024582893
gonzalez,5,14,264.49747867563883,20,0.3948389541971394,0.004051322990562767
gonzalez,5,15,262.9647671884933,19,0.39977798027810635,0.00424213899532333
gonzalez,5,16,262.9647671884933,19,0.39977798027810635,0.004478622999158688
gonzalez,5,17,262.9681364520889,19,0.39968061017813933,0.004076099998201244
gonzalez,5,18,264.49747867563883,21,0.3948389541971394,0.004513429987127893
gonzalez,5,19,262.9647671884933,18,0.39977798027810635,0.0037543890066444874
gonzalez,5,20,262.9647671884933,19,0.39977798027810635,0.004547831995296292
gonzalez,5,21,262.9647671884933,20,0.39977798027810635,0.005047886006650515
gonzalez,5,22,262.9647671884933,19,0.39977798027810635,0.00460314100200776
gonzalez,5,23,262.9647671884933,18,0.39977798027810635,0.0045618290023412555
gonzalez,5,24,262.9647671884933,19,0.39977798027810635,0.00408850699022878
gonzalez,5,25,263.0358728748357,21,0.39907230614573747,0.0044985849963268265
gonzalez,5,26,262.9647671884933,19,0.39977798027810635,0.00445900899649132
gonzalez,5,27,262.9647671884933,19,0.39977798027810635,0.00466226099524647
gonzalez,5,28,262.9622907833757,13,0.39983110553510604,0.0031372820085380226
gonzalez,5,29,262.9647671884933,19,0.39977798027810635,0.003944326992495917
gonzalez,8,0,193.06728862289083,13,0.3783663634388877,0.0037168909911997616
gonzalez,8,1,153.40183760473477,35,0.36457906750823854,0.010884638992138207
gonzalez,8,2,180.1278070159389,13,0.34878307069725356,0.004923196000163443
gonzalez,8,3,153.41317895234067,19,0.3642017172638667,0.004999226002837531
gonzalez,8,4,182.5487876356813,20,0.37323446294633056,0.005241778999334201
gonzalez,8,5,153.40494878794027,38,0.36622250351090463,0.009773589001270011
gonzalez,8,6,182.5487876356813,22,0.37323446294633056,0.005569897999521345
gonzalez,8,7,153.60175931852672,20,0.36302610109161904,0.0062159179942682385
gonzalez,8,8,182.5487876356813,22,0.37323446294633056,0.005973063001874834
gonzalez,8,9,180.60759200293944,20,0.32785634699270283,0.005357494010240771
gonzalez,8,10,153.40183760473477,42,0.36457906750823854,0.011447561002569273
gonzalez,8,11,182.5487876356813,12,0.37323446294633056,0.003309694991912693
gonzalez,8,12,176.49025133199615,21,0.3510180689418858,0.005973706996883266
gonzalez,8,13,177.63309666388398,14,0.35893891002612516,0.003977376007242128
gonzalez,8,14,153.82916764051592,20,0.3611585407698258,0.005962340990663506
gonzalez,8,15,182.5487876356813,12,0.37323446294633056,0.003594996000174433
gonzalez,8,16,182.5487876356813,22,0.37323446294633056,0.005916647001868114
gonzalez,8,17,153.40494878794027,28,0.36622250351090463,0.00900800499948673
gonzalez,8,18,153.45859383804816,26,0.36329884631558607,0.008478887000819668
gonzalez,8,19,182.5487876356813,22,0.37323446294633056,0.006526723998831585
gonzalez,8,20,182.5487876356813,17,0.37323446294633056,0.005065051998826675
gonzalez,8,21,182.85878119915586,23,0.3464142796042935,0.008444223989499733
gonzalez,8,22,197.27392309834613,13,0.34214944099347805,0.004496888999710791
gonzalez,8,23,182.5487876356813,13,0.37323446294633056,0.003701138004544191
gonzalez,8,24,192.5886976591787,12,0.37483076632314466,0.003877037001075223
gonzalez,8,25,182.27481548203468,11,0.35280651026424004,0.003229175999877043
gonzalez,8,26,192.5886976591787,12,0.37483076632314466,0.0035050599981332198
gonzalez,8,27,192.5886976591787,12,0.37483076632314466,0.003415583007154055
gonzalez,8,28,153.6195742925089,21,0.3630291924674535,0.0071792709932196885
gonzalez,8,29,193.04372740968333,13,0.3795418743359201,0.0038078669895185158
